date,hospitalizedIncrease,hospitalizedCurrently,positive,positiveIncrease,recovered,onVentilatorCurrently,positive_shifted_1,positive_shifted_3,positive_shifted_7,positive_shifted_10,hospitalizedCurrently_shifted_1,hospitalizedCurrently_shifted_3,hospitalizedCurrently_shifted_7,hospitalizedCurrently_shifted_10,recovered_shifted_1,recovered_shifted_3,recovered_shifted_7,recovered_shifted_10
2020-03-26,2478,7805.0,92976,17734,97.0,258.0,112220.0,151270.0,252085.0,342463.0,10978.0,14055.0,22997.0,32180.0,2418.0,4076.0,8586.0,14589.0
2020-03-27,2572,10978.0,112220,19244,2418.0,324.0,131826.0,172740.0,283923.0,370872.0,12409.0,15917.0,25777.0,36159.0,3145.0,4560.0,10861.0,16557.0
2020-03-28,2409,12409.0,131826,19606,3145.0,390.0,151270.0,197924.0,316808.0,401573.0,14055.0,18155.0,30268.0,43849.0,4076.0,5666.0,12844.0,18481.0
2020-03-29,2794,14055.0,151270,19444,4076.0,439.0,172740.0,224040.0,342463.0,432490.0,15917.0,20906.0,32180.0,45515.0,4560.0,7084.0,14589.0,21132.0
2020-03-30,2472,15917.0,172740,21470,4560.0,451.0,197924.0,252085.0,370872.0,467580.0,18155.0,22997.0,36159.0,51313.0,5666.0,8586.0,16557.0,24835.0
2020-03-31,3998,18155.0,197924,25184,5666.0,507.0,224040.0,283923.0,401573.0,501069.0,20906.0,25777.0,43849.0,53167.0,7084.0,10861.0,18481.0,29015.0
2020-04-01,4134,20906.0,224040,26116,7084.0,561.0,252085.0,316808.0,432490.0,532174.0,22997.0,30268.0,45515.0,55557.0,8586.0,12844.0,21132.0,31567.0
2020-04-02,4198,22997.0,252085,28045,8586.0,574.0,283923.0,342463.0,467580.0,560175.0,25777.0,32180.0,51313.0,55449.0,10861.0,14589.0,24835.0,34081.0
2020-04-03,4603,25777.0,283923,31838,10861.0,623.0,316808.0,370872.0,501069.0,584573.0,30268.0,36159.0,53167.0,56237.0,12844.0,16557.0,29015.0,35381.0
2020-04-04,5012,30268.0,316808,32885,12844.0,656.0,342463.0,401573.0,532174.0,610651.0,32180.0,43849.0,55557.0,59600.0,14589.0,18481.0,31567.0,39304.0
2020-04-05,3937,32180.0,342463,25655,14589.0,652.0,370872.0,432490.0,560175.0,640510.0,36159.0,45515.0,55449.0,59924.0,16557.0,21132.0,34081.0,43448.0
2020-04-06,2943,36159.0,370872,28409,16557.0,2961.0,401573.0,467580.0,584573.0,672087.0,43849.0,51313.0,56237.0,59498.0,18481.0,24835.0,35381.0,48851.0
2020-04-07,2997,43849.0,401573,30701,18481.0,4076.0,432490.0,501069.0,610651.0,704069.0,45515.0,53167.0,59600.0,58886.0,21132.0,29015.0,39304.0,53562.0
2020-04-08,4321,45515.0,432490,30917,21132.0,4131.0,467580.0,532174.0,640510.0,731895.0,51313.0,55557.0,59924.0,57788.0,24835.0,31567.0,43448.0,62923.0
2020-04-09,3831,51313.0,467580,35090,24835.0,5794.0,501069.0,560175.0,672087.0,759174.0,53167.0,55449.0,59498.0,56497.0,29015.0,34081.0,48851.0,67227.0
2020-04-10,4909,53167.0,501069,33489,29015.0,5937.0,532174.0,584573.0,704069.0,785279.0,55557.0,56237.0,58886.0,56734.0,31567.0,35381.0,53562.0,69507.0
2020-04-11,3747,55557.0,532174,31105,31567.0,5978.0,560175.0,610651.0,731895.0,811492.0,55449.0,59600.0,57788.0,59773.0,34081.0,39304.0,62923.0,72870.0
2020-04-12,3331,55449.0,560175,28001,34081.0,5968.0,584573.0,640510.0,759174.0,840628.0,56237.0,59924.0,56497.0,59212.0,35381.0,43448.0,67227.0,92996.0
2020-04-13,4480,56237.0,584573,24398,35381.0,6168.0,610651.0,672087.0,785279.0,872598.0,59600.0,59498.0,56734.0,59216.0,39304.0,48851.0,69507.0,96947.0
2020-04-14,3174,59600.0,610651,26078,39304.0,5975.0,640510.0,704069.0,811492.0,906872.0,59924.0,58886.0,59773.0,57324.0,43448.0,53562.0,72870.0,103423.0
2020-04-15,3510,59924.0,640510,29859,43448.0,6032.0,672087.0,731895.0,840628.0,942523.0,59498.0,57788.0,59212.0,57343.0,48851.0,62923.0,92996.0,112603.0
2020-04-16,3165,59498.0,672087,31577,48851.0,5940.0,704069.0,759174.0,872598.0,969581.0,58886.0,56497.0,59216.0,56149.0,53562.0,67227.0,96947.0,116565.0
2020-04-17,3366,58886.0,704069,31982,53562.0,6096.0,731895.0,785279.0,906872.0,992176.0,57788.0,56734.0,57324.0,56183.0,62923.0,69507.0,103423.0,121464.0
2020-04-18,3449,57788.0,731895,27826,62923.0,5729.0,759174.0,811492.0,942523.0,1017548.0,56497.0,59773.0,57343.0,56034.0,67227.0,72870.0,112603.0,139080.0
2020-04-19,2162,56497.0,759174,27279,67227.0,5603.0,785279.0,840628.0,969581.0,1043774.0,56734.0,59212.0,56149.0,55987.0,69507.0,92996.0,116565.0,147234.0
2020-04-20,2311,56734.0,785279,26105,69507.0,5567.0,811492.0,872598.0,992176.0,1073745.0,59773.0,59216.0,56183.0,54921.0,72870.0,96947.0,121464.0,154587.0
2020-04-21,2733,59773.0,811492,26213,72870.0,5514.0,840628.0,906872.0,1017548.0,1106547.0,59212.0,57324.0,56034.0,54862.0,92996.0,103423.0,139080.0,163554.0
2020-04-22,3097,59212.0,840628,29136,92996.0,5474.0,872598.0,942523.0,1043774.0,1135581.0,59216.0,57343.0,55987.0,54009.0,96947.0,112603.0,147234.0,174886.0
2020-04-23,2827,59216.0,872598,31970,96947.0,5464.0,906872.0,969581.0,1073745.0,1161121.0,57324.0,56149.0,54921.0,52619.0,103423.0,116565.0,154587.0,179614.0
2020-04-24,2372,57324.0,906872,34274,103423.0,5187.0,942523.0,992176.0,1106547.0,1183622.0,57343.0,56183.0,54862.0,52377.0,112603.0,121464.0,163554.0,186670.0
2020-04-25,2305,57343.0,942523,35651,112603.0,5266.0,969581.0,1017548.0,1135581.0,1206132.0,56149.0,56034.0,54009.0,53176.0,116565.0,139080.0,174886.0,189316.0
2020-04-26,2209,56149.0,969581,27058,116565.0,5121.0,992176.0,1043774.0,1161121.0,1231275.0,56183.0,55987.0,52619.0,52581.0,121464.0,147234.0,179614.0,189399.0
