,date,abbrev,state,positive,death,recovered
14391,2020-03-21,WY,Wyoming,23.0,0.0,0.0
14360,2020-03-21,MI,Michigan,7023.0,23.0,0.0
14359,2020-03-21,ME,Maine,73.0,0.0,0.0
14358,2020-03-21,MD,Maryland,190.0,3.0,0.0
14357,2020-03-21,MA,Massachusetts,426.0,7.0,0.0
14356,2020-03-21,LA,Louisiana,580.0,16.0,0.0
14355,2020-03-21,KY,Kentucky,54.0,2.0,0.0
14354,2020-03-21,KS,Kansas,55.0,2.0,0.0
14353,2020-03-21,IN,Indiana,126.0,4.0,0.0
14352,2020-03-21,IL,Illinois,753.0,6.0,0.0
14351,2020-03-21,ID,Idaho,31.0,0.0,0.0
14350,2020-03-21,IA,Iowa,68.0,0.0,0.0
14349,2020-03-21,HI,Hawaii,37.0,0.0,0.0
14348,2020-03-21,GU,Guam,15.0,0.0,0.0
14347,2020-03-21,GA,Georgia,507.0,14.0,0.0
14346,2020-03-21,FL,Florida,528.0,12.0,0.0
14345,2020-03-21,DE,Delaware,45.0,0.0,0.0
14344,2020-03-21,DC,District of Colombia,77.0,1.0,0.0
14343,2020-03-21,CT,Connecticut,194.0,4.0,0.0
14342,2020-03-21,CO,Colorado,475.0,5.0,0.0
14341,2020-03-21,CA,California,1279.0,24.0,0.0
14340,2020-03-21,AZ,Arizona,104.0,1.0,0.0
14339,2020-03-21,AS,American Somoa,0.0,0.0,0.0
14338,2020-03-21,AR,Arkansas,118.0,0.0,0.0
14337,2020-03-21,AL,Alabama,124.0,0.0,0.0
14336,2020-03-21,AK,Alaska,15.0,0.0,0.0
14361,2020-03-21,MN,Minnesota,327.0,1.0,0.0
14362,2020-03-21,MO,Missouri,73.0,3.0,0.0
14390,2020-03-21,WV,West Virginia,11.0,0.0,0.0
14364,2020-03-21,MS,Mississippi,140.0,1.0,0.0
14389,2020-03-21,WI,Wisconsin,315.0,4.0,0.0
14388,2020-03-21,WA,Washington,2965.0,111.0,0.0
14387,2020-03-21,VT,Vermont,52.0,2.0,0.0
14386,2020-03-21,VI,Virgin Islands,6.0,0.0,0.0
14385,2020-03-21,VA,Virginia,152.0,2.0,0.0
14384,2020-03-21,UT,Utah,136.0,0.0,0.0
14383,2020-03-21,TX,Texas,304.0,5.0,0.0
14382,2020-03-21,TN,Tennessee,371.0,0.0,0.0
14381,2020-03-21,SD,South Dakota,14.0,1.0,0.0
14380,2020-03-21,SC,South Carolina,152.0,1.0,0.0
14379,2020-03-21,RI,Rhode Island,88.0,0.0,0.0
14378,2020-03-21,PR,Puerto Rico,21.0,0.0,0.0
14363,2020-03-21,MP,Northern Marianas,0.0,0.0,0.0
14376,2020-03-21,OR,Oregon,114.0,3.0,0.0
14365,2020-03-21,MT,Montana,20.0,0.0,0.0
14366,2020-03-21,NC,North Carolina,184.0,0.0,0.0
14367,2020-03-21,ND,North Dakota,28.0,0.0,0.0
14368,2020-03-21,NE,Nebraska,38.0,0.0,0.0
14369,2020-03-21,NH,New Hampshire,55.0,0.0,0.0
14377,2020-03-21,PA,Pennsylvania,371.0,2.0,0.0
14371,2020-03-21,NM,New Mexico,57.0,0.0,0.0
14372,2020-03-21,NV,Nevada,124.0,5.0,0.0
14373,2020-03-21,NY,New York,10356.0,44.0,0.0
14374,2020-03-21,OH,Ohio,247.0,3.0,0.0
14375,2020-03-21,OK,Oklahoma,53.0,1.0,0.0
14370,2020-03-21,NJ,New Jersey,1327.0,22.0,0.0
14295,2020-03-22,ID,Idaho,42.0,0.0,0.0
14296,2020-03-22,IL,Illinois,1049.0,9.0,0.0
14297,2020-03-22,IN,Indiana,201.0,6.0,0.0
14298,2020-03-22,KS,Kansas,64.0,2.0,0.0
14299,2020-03-22,KY,Kentucky,99.0,3.0,0.0
14303,2020-03-22,ME,Maine,89.0,0.0,0.0
14302,2020-03-22,MD,Maryland,244.0,4.0,0.0
14304,2020-03-22,MI,Michigan,7822.0,36.0,0.0
14305,2020-03-22,MN,Minnesota,349.0,1.0,0.0
14294,2020-03-22,IA,Iowa,90.0,0.0,0.0
14301,2020-03-22,MA,Massachusetts,547.0,11.0,0.0
14293,2020-03-22,HI,Hawaii,48.0,0.0,0.0
14286,2020-03-22,CO,Colorado,591.0,6.0,0.0
14291,2020-03-22,GA,Georgia,600.0,23.0,0.0
14290,2020-03-22,FL,Florida,731.0,13.0,0.0
14289,2020-03-22,DE,Delaware,56.0,0.0,0.0
14288,2020-03-22,DC,District of Colombia,98.0,1.0,0.0
14287,2020-03-22,CT,Connecticut,223.0,5.0,0.0
14306,2020-03-22,MO,Missouri,90.0,3.0,0.0
14285,2020-03-22,CA,California,1536.0,27.0,0.0
14284,2020-03-22,AZ,Arizona,152.0,2.0,0.0
14283,2020-03-22,AS,American Somoa,0.0,0.0,0.0
14282,2020-03-22,AR,Arkansas,165.0,0.0,0.0
14281,2020-03-22,AL,Alabama,138.0,0.0,0.0
14280,2020-03-22,AK,Alaska,25.0,0.0,0.0
14292,2020-03-22,GU,Guam,27.0,1.0,0.0
14307,2020-03-22,MP,Northern Marianas,0.0,0.0,0.0
14300,2020-03-22,LA,Louisiana,837.0,20.0,0.0
14309,2020-03-22,MT,Montana,31.0,0.0,0.0
14308,2020-03-22,MS,Mississippi,207.0,1.0,0.0
14334,2020-03-22,WV,West Virginia,12.0,0.0,0.0
14333,2020-03-22,WI,Wisconsin,425.0,4.0,0.0
14332,2020-03-22,WA,Washington,3151.0,126.0,0.0
14331,2020-03-22,VT,Vermont,76.0,2.0,0.0
14330,2020-03-22,VI,Virgin Islands,6.0,0.0,0.0
14329,2020-03-22,VA,Virginia,219.0,3.0,0.0
14328,2020-03-22,UT,Utah,181.0,1.0,0.0
14327,2020-03-22,TX,Texas,334.0,5.0,0.0
14326,2020-03-22,TN,Tennessee,505.0,0.0,0.0
14325,2020-03-22,SD,South Dakota,21.0,1.0,0.0
14324,2020-03-22,SC,South Carolina,195.0,3.0,0.0
14323,2020-03-22,RI,Rhode Island,113.0,0.0,0.0
