date,Unnamed: 0,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-12-08,0,32406.0,20483.0,4193,104600.0,593679.0,164563564,1184838,7245.0,14930563,213498,5786915.0,207572528,1638354
2020-12-07,1,32120.0,20098.0,3614,102148.0,589486.0,163378726,1386381,7073.0,14717065,180193,5714557.0,205934174,1835388
2020-12-06,2,31946.0,20145.0,2311,101501.0,585872.0,161992345,1175503,7095.0,14536872,177801,5624609.0,204098786,1648306
2020-12-05,3,31831.0,19947.0,3457,101192.0,583561.0,160816842,1530133,7006.0,14359071,212880,5576152.0,202450480,2190899
2020-12-04,4,31608.0,19858.0,4652,101276.0,580104.0,159286709,1260657,6999.0,14146191,224831,5470389.0,200259581,1854869
2020-12-03,5,31276.0,19723.0,5331,100755.0,575452.0,158026052,1238465,6867.0,13921360,210204,5404018.0,198404712,1828230
2020-12-02,6,31038.0,19680.0,5028,100322.0,570121.0,156787587,982032,6855.0,13711156,195796,5322128.0,196576482,1459202
2020-12-01,7,30749.0,19295.0,5222,98777.0,565093.0,155805555,1941714,6649.0,13515360,176753,5226581.0,195117280,2340996
2020-11-30,8,30469.0,18801.0,3394,96149.0,559871.0,153863841,1219808,6520.0,13338607,147587,5146643.0,192776284,1603253
2020-11-29,9,30274.0,18437.0,2429,93357.0,556477.0,152644033,883148,6245.0,13191020,135242,5065148.0,191173031,1289970
2020-11-28,10,30109.0,18249.0,3404,91762.0,554048.0,151760885,1276935,6148.0,13055778,154522,5024447.0,189883061,1709566
2020-11-27,11,29858.0,18061.0,3499,89950.0,550644.0,150483950,1504431,6030.0,12901256,193725,4947446.0,188173495,2126288
2020-11-26,12,29673.0,18019.0,2247,90564.0,547145.0,148979519,850418,5986.0,12707531,126335,4871312.0,186047207,1170195
2020-11-25,13,29540.0,17740.0,4568,90041.0,544898.0,148129101,1160187,5990.0,12581196,183629,4835956.0,184877012,1720705
2020-11-24,14,29245.0,17314.0,4591,88174.0,540330.0,146968914,1353678,5630.0,12397567,167014,4696996.0,183156307,1790272
2020-11-23,15,28990.0,17080.0,2985,85979.0,535739.0,145615236,1347659,5458.0,12230553,150958,4633600.0,181366035,1758560
2020-11-22,16,28828.0,16411.0,2291,83882.0,532754.0,144267577,1254291,5233.0,12079595,150841,4526635.0,179607475,1744488
2020-11-21,17,28693.0,16264.0,3340,83346.0,530463.0,143013286,1429877,5103.0,11928754,179715,4529788.0,177862987,2004237
2020-11-20,18,28472.0,16138.0,3891,82279.0,527123.0,141583409,1389889,5055.0,11749039,192800,4457930.0,175858750,1919404
2020-11-19,19,28216.0,15763.0,4420,80682.0,523232.0,140193520,1286682,4859.0,11556239,182835,4410709.0,173939346,1821019
2020-11-18,20,27989.0,15558.0,4384,79517.0,518812.0,138906838,1074535,4701.0,11373404,163972,4348089.0,172118327,1539051
2020-11-17,21,27681.0,15018.0,3812,77079.0,514428.0,137832303,1092466,4379.0,11209432,156732,4292094.0,170579276,1511767
2020-11-16,22,27437.0,14494.0,3033,73377.0,510616.0,136739837,1103588,4166.0,11052700,148873,4242683.0,169067509,1486671
2020-11-15,23,27269.0,13849.0,1868,70202.0,507583.0,135636249,1162588,3939.0,10903827,144432,4183378.0,167580838,1615398
2020-11-14,24,27172.0,13491.0,3424,69588.0,505715.0,134473661,1174745,3945.0,10759395,163538,4146419.0,165965440,1661870
2020-11-13,25,26997.0,13279.0,3686,68599.0,502291.0,133298916,1237358,3769.0,10595857,172116,4093148.0,164303570,1697946
2020-11-12,26,26803.0,12911.0,3551,67233.0,498605.0,132061558,970746,3622.0,10423741,152012,4049143.0,162605624,1475910
2020-11-11,27,26584.0,12625.0,3275,65557.0,495054.0,131090812,1019608,3367.0,10271729,144817,3995023.0,161129714,1417539
2020-11-10,28,26335.0,12071.0,4033,62138.0,491779.0,130071204,941989,3201.0,10126912,131187,3959700.0,159712175,1251917
2020-11-09,29,26087.0,11638.0,2261,59394.0,487746.0,129129215,1222538,3110.0,9995725,119434,3926618.0,158460258,1516486
2020-11-08,30,25819.0,11223.0,1467,56942.0,485485.0,127906677,921930,2977.0,9876291,110290,3879255.0,156943772,1252250
2020-11-07,31,25721.0,11215.0,2297,56037.0,484018.0,126984747,984190,2947.0,9766001,129222,3849345.0,155691522,1413065
2020-11-06,32,25498.0,11213.0,3143,54949.0,481721.0,126000557,1134534,2850.0,9636779,125758,3808730.0,154278457,1563936
2020-11-05,33,25276.0,11046.0,2541,53465.0,478578.0,124866023,1183658,2877.0,9511021,116443,3779523.0,152714521,1567027
2020-11-04,34,25041.0,10892.0,3114,52166.0,476037.0,123682365,869801,2832.0,9394578,103305,3741442.0,151147494,1222728
2020-11-03,35,24796.0,10530.0,3115,50512.0,472923.0,122812564,840052,2733.0,9291273,86666,3702925.0,149924766,1128739
2020-11-02,36,24560.0,9970.0,1446,48773.0,469808.0,121972512,1070761,2637.0,9204607,82047,3672742.0,148796027,1326677
2020-11-01,37,24457.0,9665.0,1166,47615.0,468362.0,120901751,814184,2553.0,9122560,73849,3631622.0,147469350,1127867
2020-10-31,38,24375.0,9613.0,2082,47486.0,467196.0,120087567,1044004,2502.0,9048711,90585,3610296.0,146341483,1390130
2020-10-30,39,24230.0,9549.0,2401,46856.0,465114.0,119043563,975456,2477.0,8958126,97238,3576201.0,144951353,1363624
2020-10-29,40,24082.0,9320.0,2334,46220.0,462713.0,118068107,1009397,2403.0,8860888,88723,3552166.0,143587729,1332791
2020-10-28,41,23883.0,9134.0,2464,45205.0,460379.0,117058710,802924,2347.0,8772165,78752,3515953.0,142254938,1096151
2020-10-27,42,23701.0,8997.0,2253,44392.0,457915.0,116255786,807350,2287.0,8693413,72083,3485474.0,141158787,1071163
2020-10-26,43,23542.0,8942.0,1754,43005.0,455662.0,115448436,983843,2301.0,8621330,62525,3458204.0,140087624,1211065
2020-10-25,44,23420.0,8590.0,1076,41883.0,453908.0,114464593,900533,2176.0,8558805,64893,3420713.0,138876559,1188211
2020-10-24,45,23356.0,8675.0,1793,42087.0,452832.0,113564060,961392,2230.0,8493912,83287,3404503.0,137688348,1323376
